feature,importance
has_quotes,0.0609538
has_colon,0.05686901
category_enc,0.051568005
editorial_headline_score,0.044789728
interaction_cat_enc_x_pca_0,0.04326165
has_number,0.038980983
has_dash,0.03315713
title_pca_2,0.030755414
title_pca_0,0.026848149
title_caps_words,0.025958486
interaction_avg_word_len_x_number,0.025826028
title_pca_1,0.019215172
title_pca_17,0.0139939925
title_pca_6,0.012376666
title_pca_7,0.012037877
suboptimal_word_count,0.011330093
has_question,0.010918841
title_pca_8,0.010655049
title_upper_ratio,0.0101424735
interaction_read_ease_x_upper_ratio,0.007734498
title_pca_3,0.0074146125
title_pca_4,0.0073619476
title_pca_5,0.0072057922
title_pca_12,0.0065397774
too_long_title,0.006478524
needs_readability_improvement,0.0058200713
title_pca_141,0.005574269
title_pca_13,0.0055465964
abstract_word_count,0.004931688
abstract_length,0.0049029416
title_word_count,0.0047869864
title_pca_43,0.0047053583
title_pca_64,0.004508626
title_pca_44,0.004437083
title_pca_66,0.004239392
title_pca_41,0.004230249
title_pca_10,0.0040579825
title_length,0.003936756
title_pca_26,0.0039353753
title_pca_88,0.0038759639
title_abstract_ratio,0.0038140477
title_pca_45,0.0037238663
title_pca_23,0.0037128213
title_pca_36,0.0036988184
title_pca_82,0.003674395
title_pca_15,0.0036490562
has_abstract,0.003615651
title_pca_29,0.0035926767
title_pca_20,0.00358364
title_pca_80,0.0035816394
title_pca_131,0.0035582816
title_pca_35,0.0034855453
avg_word_length,0.0034148754
title_pca_37,0.0033941055
title_pca_99,0.003346451
title_pca_83,0.00332543
title_pca_40,0.0033110778
title_pca_21,0.0033061043
interaction_word_count_x_abstract,0.0032698165
title_pca_51,0.0032449472
title_pca_56,0.003244105
title_pca_127,0.003229653
title_pca_53,0.0031862939
title_pca_68,0.0031186598
title_pca_59,0.003063096
editorial_readability_score,0.0029942328
title_pca_101,0.00299338
title_pca_115,0.00296942
title_pca_112,0.0029376824
title_pca_121,0.0029044608
title_pca_25,0.0028889729
title_pca_9,0.002853089
title_pca_30,0.002824727
title_pca_103,0.0028226974
title_pca_16,0.0028088884
title_pca_89,0.0027898462
title_pca_87,0.0027715522
title_pca_33,0.0027645049
title_pca_139,0.0027425278
title_pca_98,0.0027143545
title_pca_113,0.0027021125
title_pca_147,0.0026742173
title_reading_ease,0.0026618924
title_pca_130,0.0026569657
title_pca_93,0.0026529182
title_pca_94,0.0026344135
title_pca_34,0.002632462
title_pca_118,0.0026299173
title_pca_110,0.002583764
title_pca_137,0.0025655527
title_pca_125,0.0025543564
title_pca_86,0.002542637
abstract_reading_ease,0.0025326305
title_pca_11,0.0025243857
interaction_question_x_number,0.0025228087
title_pca_46,0.0025137677
title_pca_78,0.0024949175
title_pca_61,0.0024832366
title_pca_108,0.0024817847
title_pca_24,0.002481285
title_pca_31,0.002465563
title_pca_109,0.0024569798
title_pca_123,0.0024528285
title_pca_65,0.0024505153
title_pca_97,0.0024437385
title_pca_77,0.0024427236
title_pca_133,0.002416719
title_pca_50,0.0024124372
title_pca_85,0.0024088493
title_pca_27,0.0024030502
title_pca_91,0.0023943963
title_pca_57,0.002385126
title_pca_52,0.0023791934
title_pca_38,0.0023781722
title_pca_69,0.0023562047
title_pca_128,0.0023553101
title_pca_73,0.0023533858
title_pca_60,0.0023360779
title_pca_136,0.0023245942
title_pca_75,0.0023128842
title_pca_105,0.0022866703
title_pca_32,0.0022804684
title_pca_58,0.0022769826
title_pca_126,0.0022711304
title_pca_134,0.0022701018
title_pca_106,0.0022639432
title_pca_145,0.0022633416
title_pca_18,0.00225567
title_pca_72,0.0022550388
title_pca_47,0.002254833
title_pca_14,0.0022208914
title_pca_63,0.0022100294
title_pca_104,0.002189575
title_pca_70,0.002185558
title_pca_148,0.0021831319
title_pca_90,0.002174193
title_pca_122,0.0021608297
title_pca_62,0.0021461044
title_pca_67,0.0021282549
title_pca_19,0.0021280264
title_pca_54,0.0021208483
title_pca_71,0.0021197475
title_pca_107,0.0021153507
title_pca_129,0.0021144045
title_pca_48,0.0021087804
title_pca_149,0.0021057916
title_pca_22,0.0020983934
title_pca_39,0.0020900548
title_pca_116,0.002083667
title_pca_81,0.0020749534
title_pca_140,0.0020745012
title_pca_55,0.00207046
title_pca_95,0.00207016
title_pca_119,0.002064134
title_pca_28,0.0020590986
title_pca_42,0.0020442943
title_pca_114,0.0020391955
title_pca_79,0.002032455
title_pca_96,0.0020308478
title_pca_144,0.0020219805
title_pca_138,0.002018507
title_pca_135,0.002011213
title_pca_111,0.001999984
title_pca_74,0.0019377162
title_pca_76,0.001925056
title_pca_100,0.0019232599
title_pca_146,0.0019038974
title_pca_143,0.0019006539
title_pca_120,0.001866687
title_pca_84,0.0018499704
title_pca_117,0.0018411028
title_pca_49,0.0018397752
title_pca_132,0.0018341395
title_pca_92,0.0018177326
has_exclamation,0.001807709
title_pca_124,0.0018018353
title_pca_142,0.001790751
title_pca_102,0.0017429291
